MSI_DO_YOU_AGREE,"Do you agree?"
MSI_BATTLEFIELD_DP_REQUIRED,"Level:"
MSI_BATTLEFIELD_DP_WIN,"Win:"
MSI_BATTLEFIELD_DP_DRAW,"Draw:"
MSI_BATTLEFIELD_DP_LOSS,"Loss:"
MSI_BATTLEFIELD_DOYOU_SINGLE,"Do you want to participate in the individuals battle?"
MSI_BATTLEFIELD_DOYOU_PALTY,"Do you want to participate in the parties battle?"
MSI_BATTLEFIELD_DOYOU_GUILD,"Do you want to participate in the guilds battle?"
MSI_BATTLEFIELD_LIST2,"Battleground List"
MSI_BATTLEFIELD_D_VS_D,"%d VS %d"
MSI_BATTLEFIELD_LEVELDOWN_D,"LV %d and lower"
MSI_BATTLEFIELD_LEVELUP_D,"LV %d and higher"
MSI_BATTLEFIELD_LEVEL_D_D,"LV %d ~ %d"
MSI_BATTLEFIELD_LIMITLESS,"No restrictions"
MSI_BATTLEFIELD_MSG_NOT_JOINMAP,"[You can't apply on this map.]"
MSI_BATTLEFIELD_MSG_WAIT_1MM,"[You must wait about 1 minute to apply.]"
MSI_BATTLEFIELD_MSG_PLZ_PALTYJOIN,"[You must be in a party.]"
MSI_BATTLEFIELD_MSG_NOT_PALTYBOSS,"[Only party leader can apply.]"
MSI_BATTLEFIELD_MSG_OVER_PARTYMEMBER,"[Too many party members online.]"
MSI_BATTLEFIELD_MSG_PLZ_GUILDJOIN,"[You must be in a guild.]"
MSI_BATTLEFIELD_MSG_NOT_GUILDBOSS,"[Only guild master can apply.]"
MSI_BATTLEFIELD_MSG_OVER_GUILDMEMBER,"[Too many guild members online.]"
MSI_RESERVE_CHANGE_CHARACTER_SLOT,"Moving Book"
MSI_CHARACTER_SLOT_CHANGE,"Move"
MSI_CHANGE_CHARACTER_NAME,"Rename"
MSI_MSG_MAKECHARCTER,"Create Character"
MSI_UAE_URL,"http://ro.game.gnjoy.com/"
MSI_UAE_SERVERSTR,"(%s) Server"
MSI_MERGE_ITEM,"Item Merge"
MSI_SELECT_ITEM_TO_MERGE,"Two or more of the same type. Please select an item."
MSI_MERGE_ITEM_SUCCESS,"Item merge is successful."
MSI_MERGE_ITEM_FAILED_NOT_MERGE,"Combining items will be only one kind at a time."
MSI_MERGE_ITEM_FAILED_MAX_COUNT,"You cannot have more than 30,000 stacked items."
MSI_CHARACTER_LEFT_ROLL,"Rotate left"
MSI_CHARACTER_RIGHT_ROLL,"Rotate right"
MSI_VIEW_BEFORE_WORLDINFO,"(%s) to view the old server information"
MSI_VIEW_BEFORE_WORLDINFO_TITLE,"Existing server information"
MSI_VIEW_BEFORE_SERVERINFO,"^ff0000Existing server: ^0000ff"
MSI_VIEW_BEFORE_CHARNAME,"^ff0000Existing character: ^0000ff"
MSI_MONSTER_HP_ON,"Show monster HP bar when attacking."
MSI_MONSTER_HP_OFF,"Hide monster HP bar when attacking."
MSI_MERGE_ITEM_FAILED_NOT_EXIST,"Merge does not exist as an item"
MSI_NOT_EXIST_MERGE_ITEM,"Merge items available does not exist."
MSI_QUESTUI_TAB_PROCESS,"Act"
MSI_QUESTUI_TAB_HOLD,"Pen"
MSI_QUESTUI_TAB_BEST,"Rec"
MSI_QUESTUI_TAB_EPISODE,"Episode"
MSI_QUESTUI_TAB_LOCAL,"Loc"
MSI_QUESTUI_TAB_EVENT,"Evt"
MSI_QUESTUI_TAB_NEW,"New"
MSI_QUESTUI_HUNTMONSTER,"Target monsters"
MSI_QUESTUI_REWARDITEM,"Rewards"
MSI_QUESTUI_NEEDITEM,"Required Items"
MSI_QUESTUI_TIMELIMIT,"Time Limit"
MSI_QUESTUI_CLOSINGTIME,"Deadline"
MSI_NAVIGATION_SEARCH,"Search"
MSI_NAVIGATION_TARGETGO,"Navigation"
MSI_NAVIGATION_ROUTEINFO,"Back to Navigation"
MSI_NAVIGATION_SEARCHINFO,"View List"
MSI_NAVIGATION_VIEWCHANGE,"Toggle Minimap"
MSI_NAVIGATION_LIGHTCHANGE,"Read external file path information"
MSI_NAVIGATION_END,"Exit"
MSI_NAVIGATION_BASE,"Change to basic UI"
MSI_NAVIGATION_MINI,"Change to simple UI"
MSI_NAVIGATION_HELP,"Help"
MSI_NAVIGATION_ALL,"All"
MSI_NAVIGATION_MAP,"Map"
MSI_NAVIGATION_NPC,"Npc"
MSI_NAVIGATION_MOB,"Mob"
MSI_NAVIGATION_SETSTRING,"Enter search string... (Ex: word word ..."
MSI_NAVIGATION_SCROLL,"Scroll"
MSI_NAVIGATION_USESCROLL,"Use Scroll?"
MSI_NAVIGATION_SERVICE,"Service"
MSI_NAVIGATION_USESERVICE,"Use Kafra Warp?"
MSI_NAVIGATION_PLANE,"Plane"
MSI_NAVIGATION_USEPLANE,"Use Airship?"
MSI_NAVIGATION_TARGETUNKNOWN,">> Failed to read the target information."
MSI_NAVIGATION_GOING,">> Destination <<"
MSI_NAVIGATION_SEARCHING,"<< Goal... >>"
MSI_NAVIGATION_UN,"-----------"
MSI_NAVIGATION_NAVI,"Navigation"
MSI_NAVIGATION_SEARCHRESULT_D,"= search result (%d) =="
MSI_NAVIGATION_NPC_S_S,"Npc)%s:%s"
MSI_NAVIGATION_MOB_S_S,"Mob)%s:%s"
MSI_NAVIGATION_MAP_S,"Map)%s"
MSI_NAVIGATION_RESULTINFO,"======== Results =========="
MSI_NAVIGATION_LENGTH,"Dist  %d Cell %d WarpMove"
MSI_NAVIGATION_TARGETMAP_S_S,"Coords %s(%s)"
MSI_NAVIGATION_TARGET_S_D_D,"Goal:%s (%d,%d)"
MSI_NAVIGATION_BOSS,"Boss"
MSI_NAVIGATION_NORMAL,"General"
MSI_NAVIGATION_TARGET_S_S,"Goal :"
MSI_NAVIGATION_TARGET_D_D,"Goal: (%d, %d)"
MSI_NAVIGATION_GOINFO,"======= Guidance ======="
MSI_NAVIGATION_ITEM_S_S,"%2d) Item:%s => %s Use!"
MSI_NAVIGATION_D_S_D_D_D_D,"%2d) %s(%d,%d)=>(%d,%d)"
MSI_NAVIGATION_E_D_S_D_D_D_D,"E%2d) %s(%d,%d)=>(%d,%d)"
MSI_NAVIGATION_E_D_S,"E%2d) %s"
MSI_NAVIGATION_GOEXIT,"Do you want to cancel navigation?"
MSI_NAVIGATION_HELPTITLE,"How to Use Navigation"
MSI_NAVIGATION_HELP1,"------------------- Instruction --------------------"
MSI_NAVIGATION_HELP2,"1) /Navigation or /navi"
MSI_NAVIGATION_HELP3,"ex) /navi prontera 100 100 -> /navi 'MAPNAME', 100, 100"
MSI_NAVIGATION_HELP4,"2) /Navigation2 or /navi2 "
MSI_NAVIGATION_HELP5,"ex) /navi2 prontera 100 111"
MSI_NAVIGATION_HELP6,"-> MAPNAME location (100 90), Scroll | Zeny | Plane (1: Enable or 0: Disable)"
MSI_NAVIGATION_HELP7,"-> /navi2 goes with the case with location coordinates. They must be no less than 3 characters "
MSI_NAVIGATION_HELP8,"3) $$all Output all the items (Can take a while...) "
MSI_NAVIGATION_HELP9,"4) $$lv30 monsters are placed in the output "
MSI_NAVIGATION_HELP10,"5) $$lv20~30 monsters in that level range are placed in the output "
MSI_NAVIGATION_HELP11,"-------------------  Description  --------------------"
MSI_NAVIGATION_HELP12,"1) One can search for monsters, npcs, maps, or all at once"
MSI_NAVIGATION_HELP13,"2) You can press the search button to get results. It will out put the results depending on what rule you choose"
MSI_NAVIGATION_HELP14,"ex) Drop down box -> Select 'Npc', then type in the box 'Kafra'. Results will now be displayed"
MSI_NAVIGATION_HELP15,"3) When you select an item from a list, information about it are displayed."
MSI_NAVIGATION_HELP16,"-> When button is clicked, it will point you towards your destination if available"
MSI_NAVIGATION_HELP17,"4) Scroll | Zeny | Plane options can be checked to find a faster route"
MSI_NAVIGATION_HELP18,"5) Guide button is pressed, the result list window displays where routes can change direction"
MSI_NAVIGATION_HELP19,"6) Using the button below, search results can be found"
MSI_NAVIGATION_HELP20,"-> [Results List Window] <-> [View Modes can be switched]"
MSI_NAVIGATION_LEVEL_D_BOSS,"Level:%d (Boss)"
MSI_NAVIGATION_LEVEL_D_NORMAL,"Level:%d (Mob)"
MSI_NAVIGATION_PROPERTY1,"Water %d"
MSI_NAVIGATION_PROPERTY2,"Earth %d"
MSI_NAVIGATION_PROPERTY3,"Fire %d"
MSI_NAVIGATION_PROPERTY4,"Wind %d"
MSI_NAVIGATION_PROPERTY5,"Poison %d"
MSI_NAVIGATION_PROPERTY6,"Holy %d"
MSI_NAVIGATION_PROPERTY7,"Shadow %d"
MSI_NAVIGATION_PROPERTY8,"Ghost %d"
MSI_NAVIGATION_PROPERTY9,"Undead %d"
MSI_NAVIGATION_PROPERTY0,"Neutral %d"
MSI_NAVIGATION_SCALE1,"Medium"
MSI_NAVIGATION_SCALE2,"Large"
MSI_NAVIGATION_SCALE0,"Small"
MSI_NAVIGATION_RACE1,"Undead"
MSI_NAVIGATION_RACE2,"Brute"
MSI_NAVIGATION_RACE3,"Plant"
MSI_NAVIGATION_RACE4,"Insect"
MSI_NAVIGATION_RACE5,"Fish"
MSI_NAVIGATION_RACE6,"Demon"
MSI_NAVIGATION_RACE7,"Demi-Human"
MSI_NAVIGATION_RACE8,"Angel"
MSI_NAVIGATION_RACE9,"Dragon"
MSI_NAVIGATION_RACE0,"Formless"
MSI_NAVIGATION_MOVECLICK,"Click to move %s"
MSI_NAVIGATION_NPCMOVE,"Move to the Kafra Service Npc"
MSI_NAVIGATION_NPCCLICK,"Click the NPC"
MSI_NAVIGATION_S_MOVE,"Move %s"
MSI_NAVIGATION_PLANEMOVE,"Move to the Airship Service"
MSI_NAVIGATION_WARPUSE,"By Warp"
MSI_NAVIGATION_TARGETPOINT_D_D,"End Points: (%d %d)"
MSI_NAVIGATION_UNKNOWNMAP,"That does not support the navigation area"
MSI_NAVIGATION_RS_UNKNOWN,"The purpose is unclear"
MSI_NAVIGATION_RS_NOTSAMEMAP,"Does not meet the map requirement"
MSI_NAVIGATION_RS_FAILSTARTDATA,"Information Failure | Change settings"
MSI_NAVIGATION_RS_FAILTARGET,"Failed to set info for location!"
MSI_NAVIGATION_RS_FAILROUTE,"Failed to find a path"
MSI_NAVIGATION_RS_FAILPLAYER,"Failed to find players "
MSI_NAVIGATION_RS_NODATA,"No Information"
MSI_NAVIGATION_RS_MAPNOTNAVIGATION,"Map doesn't support directions"
MSI_NAVIGATION_RS_FAILTARGETROUTE,"Please specify target goals."
MSI_NAVIGATION_RS_SUCCESS,"Found"
MSI_NAVIGATION_RS_START,"Directions were started"
MSI_NAVIGATION_RS_MOBTARGETMAP,"Is the map that you're looking for mob"
MSI_NAVIGATION_RS_TARGETMAP,"Map appears on the guide you are looking for"
MSI_NAVIGATION_RS_SCROLL,"Please navigate using the item"
MSI_NAVIGATION_RS_ROUTE_SUCCESS,"To find the location, follow the arrows"
MSI_NAVIGATION_RS_MAPTMAP_SUCCESS,"Arrived at the target map"
MSI_NAVIGATION_RS_NPCTMAP_SUCCESS,"Arrived on the map that has the Npc you're looking for. Follow the arrows to go to that NPC."
MSI_NAVIGATION_RS_MOBTMAP_SUCCESS,"You have arrived at the mob you were looking for"
MSI_NAVIGATION_RS_POSTMAP_SUCCESS,"You have reached your goal"
MSI_NAVIGATION_RS_SAMETARGET,"Please go to indicated direction."
MSI_NAVIGATION_RS_HERE,"The goal has been reached"
MSI_NAVIGATION_PRINT_S,"Navigation >: %s"
MSI_NAVIGATION_PRINT_GO_S,"Navigation >: Talk to [%s]"
MSI_NAVIGATION_PRINT_MAP_S,"Navigation >: Please move to [%s] map"
MSI_NAVIGATION_PRINT_SELECTMAP_S,"Navigation >: Then select [%s]"
MSI_NAVIGATION_PRINT_PLANE,"Navigation >: Please move to the Airship"
MSI_NAVIGATION_PRINT_WARP,"Navigation >: Use the Warp Portal to move to the next area."
MSI_NAVIGATION_PRINT_ITEM,"Item: "
MSI_NAVIGATION_ZZ,"$$"
MSI_NAVIGATION_ZZLV,"$$lv"
MSI_NAVIGATION_ZZLIMIT,"~"
MSI_NAVIGATION_ZZALL,"$$all"
MSI_SHOP_ITEM_BAY_TITLE,"Confirm Deal"
MSI_SHOP_ITEM_BAY_MAG1,"Below is the total cost:"
MSI_SHOP_ITEM_BAY_MAG2," Zeny"
MSI_SHOP_ITEM_BAY_MAG3,"Press buy to confirm."
MSI_BASIC_EXP_MSG2,"%.1f%% (Internet cafe %.1f%% + TPLUS %.1f%% + Premium %.1f%% + %s Server %.1f%%)"
MSI_CARDWIN,"Card Book"
MSI_PERSONAL_INFORMATION_MSG_CHN,"%d%% [ ( Basic 100%% + %s Server %d%% ) * Active %.1f ]"
MSI_PERSONAL_INFORMATION_MSG_CHN_DEATH,"%d%% [ Basic 100%% + %s Server %d%% ]"
MSI_CAUTION_PKZONE,"This is PK region. Minors,Please leave immediately."
MSI_FATIGUE,"Fatigue"
MSI_FATIGUE_LEVEL_ZERO,"Health and gaming revenue is 100%%."
MSI_FATIGUE_LEVEL_HALF,"Fatigue because it is now a guest of the gaming revenue is down 50 percent.Hope for the proper health"
MSI_FATIGUE_LEVEL_FULL,"Now because it is a non-health to the health of the guests want to offline games. If you still are online gaming revenue because the damage to the health of the game falls to 0%% again after 5 hours will be restored offline."
MSI_FATIGUE_MESSAGE0,"Online since %d minutes"
MSI_FATIGUE_MESSAGE1,"Online Time: %d"
MSI_FATIGUE_MESSAGE2,"Online since %d hours and %d minutes"
MSI_EXPLAIN_MONSTERHP,"/monsterhp : Show the hp of attacked monster. On off"
MSI_SKILLPOINT2,"Skill Points : "
MSI_BAN_BILLING_SERVER_ERROR,"There is no response from the authentification server. Please try again"
MSI_REFUSE_CHANGE_PASSWD_FORCE,"Please change your password"
MSI_REFUSE_CHANGE_PASSWD_SITE,"http://www.ragnarok.co.kr"
MSI_PLANNED_TIME_SHUTDOWN,"Guest access is prohibited"
MSI_SHOUTDOWN_TIME,"Your System is been Shutdown, %1.2d-%1.2d-%1.2d %1.2d:%1.2d:%1.2d is the end time."
MSI_PARTIAL_SHOUTDOWN_TIME,"Selected System Shutdown is activated in your account,Time Left: %1.2d hours %1.2d minutes."
MSI_MENU_REPLAYWND,"Replay"
MSI_MENU_MACROWND,"Macro"
MSI_MENU_WEBBROWSERWND,"Webbrowser"
MSI_MENU_NAVIGATIONWND,"Navigation"
MSI_MENU_UAEURLWND,"UAEURL"
MSI_CLAN_INFOMANAGE,"Clan Info"
MSI_CLAN_LEVEL,"Clan Level"
MSI_CLAN_NAME,"Clan Name"
MSI_CLAN_MARK,"Clan Emblem"
MSI_ALLY_CLAN,"Ally Clan"
MSI_HOSTILITY_CLAN,"Hostile Clan"
MSI_SEND_TO_CLAN,"Send to Clan"
MSI_CLAN_MASTER_NAME,"Clan Leader"
MSI_CLAN_NUM_MEMBER,"Number of Members"
MSI_CLAN_MANAGE_LAND,"Castles Owned"
MSI_VIEW_CLAN_MSG,"Clan Chat"
MSI_TWWEB_WARRING,"Go to Page Charged."
MSI_TWWEB_URL,"https://gfb.gameflier.com/Billing/ingame/index_new.asp?"
MSI_STR_MAKECHARACTER,"Create Character"
MSI_CHR_DELETE_RESERVED_FAIL_CHARNAME,"Name does not match"
MSI_CHR_DELETE_RESERVED_INPUTCONFIRMSTR_WND_TITLE,"Enter the name of character"
MSI_SELECT_SEX,"Sex Selection Window"
MSI_SPRITE_ALTER,"Editing of the File Detected"
MSI_CONFIRM_TO_OPEN_EVENT_ITEM,"Items obtained by opening the item is character bounded (cannot move to storage). Do you want to open the box?"
MSI_GAME_SETTING,"Game Settings"
MSI_SYSTEM_SETTING,"Game System"
MSI_COMMAND_SETTING,"Game Commands"
MSI_COMMAND_LIST,"Game Command ON/OFF"
MSI_MACRO_LIST,"Macro"
MSI_EXCHANGEITEM_DENY_MAP,"Trading is prohibited in this Map"
MSI_CART_USE_DENY_MAP,"Using cart is prohibited in this Map"
MSI_BLOCK_SUNMOONSTAR_MIRACLE,"In this Map,Effect of Mirace of Sun and Moon is nullified."
MSI_RANKING_BOARD,"Ranking Board"
MSI_RANKING_NUMBER,"Rank"
MSI_RANKING_NAME,"Name"
MSI_RANKING_POINT,"Points"
MSI_RANKING_BLACKSMITH,"BlackSmith"
MSI_RANKING_ALCHEMIST,"Alchemist"
MSI_RANKING_TAEKWON,"Taekwon"
MSI_RANKING_KILLER,"Killer"
MSI_RANKING_BATTLE_7VS7_ALL,"7 vs 7"
MSI_RANKING_RUNE_KNIGHT,"RuneKnight"
MSI_RANKING_WARLOCK,"Warlock"
MSI_RANKING_RANGER,"Ranger"
MSI_RANKING_MECHANIC,"Mechanic"
MSI_RANKING_GUILLOTINE_CROSS,"GuillotineCross"
MSI_RANKING_ARCHBISHOP,"Archbishop"
MSI_RANKING_ROYAL_GUARD,"RoyalGuard"
MSI_RANKING_SORCERER,"Sorcerer"
MSI_RANKING_MINSTREL,"Minstrel"
MSI_RANKING_WANDERER,"Wanderer"
MSI_RANKING_GENETIC,"Genetic"
MSI_RANKING_SHADOW_CHASER,"ShadowChaser"
MSI_RANKING_SURA,"Sura"
MSI_RANKING_KAGEROU,"Kagerou"
MSI_RANKING_OBORO,"Oboro"
MSI_RANKING_SELECT,"Select Ranking Type"
MSI_RANKING_TYPE,"Ranking Type"
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_SEC,"Currently,Server is full.           ^0000ffPeople Currently Waiting : %d                    Expected Waiting Time : %dSeconds"
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_MIN,"Currently,Server is full.           ^0000ffPeople Currently Waiting : %d                    Expected Waiting Time : %dMinutes %d Seconds"
MSI_CBT_ACTIVE_USER_CHECK,"CBT is not an invited user"
MSI_NAVIGATION_HELP_1,"------------------- Instruction --------------------"
MSI_NAVIGATION_HELP_2,"1) /Navigation or /navi ex) /navi prontera 100 100 -> /navi 'MAPNAME', 100, 100"
MSI_NAVIGATION_HELP_3,"2) /Navigation2 or /navi2 ex) /navi2 prontera 100 111 -> MAPNAME location (100 90), Scroll | Zeny | Plane (1: Enable or 0: Disable)"
MSI_NAVIGATION_HELP_4,"-> /navi2 goes with the case with location coordinates. They must be no less than 3 characters "
MSI_NAVIGATION_HELP_5,"3) $$all Output all the items (Can take a while...) "
MSI_NAVIGATION_HELP_6,"4) $$lv30 monsters are placed in the output "
MSI_NAVIGATION_HELP_7,"5) $$lv20~30 monsters in that level range are placed in the output "
MSI_RANKING_BATTLE_1VS1_ALL,"1 vs 1"
MSI_SHADOW_EQUIPMENT,"Costume"
MSI_CHARACTERERROR_JOB,"Suspicious character job info in slot %d. Please contact the customer support. ErrorCode(%d)"
MSI_NAVIGATION_ALL_S,"(%s) %d / %d"
MSI_NAVIGATION_ALL_SD,"%s-%s(%d/%d)"
MSI_REFUSE_OVER_USERLIMIT,"Server Exceeded the maximum number of users,Cannot Connect anymore users."
MSI_REFUSE_ERRORCODE,"Server Connection Failed (%d)"
MSI_REFUSE_DISCONNECT_KEEP_TIME,"Login Timeout Permitted"
MSI_REFUSE_WEB_AUTH_FAILED,"Login Authentication Failed from Authentication Server."
MSI_GUILDNAME_CHECK,"Guild Cannot use Space in the name."
MSI_BILLING_CHN_1,"Hey,Hello There"
MSI_BILLING_CHN_2,"Available Time will End on %d month %d hour %d:%d"
MSI_BILLING_CHN_3,"You've lot of time,Play in Peace."
MSI_BILLING_CHN_4,"Your hours will be terminated within this week. Please Charge before termination."
MSI_BILLING_CHN_5,"Your hours will be terminated within 24 hours.Please Charge Quickly."
MSI_BILLING_CHN_6,"Current Time Left:%d hours.Charge the game for uninterrupted play."
MSI_BILLING_CHN_7,"Current Time Left:%d minutes.Charge the game for uninterrupted play."
MSI_BILLING_CHN_8,"Time Left: %d hours %d minutes"
MSI_BASIC_EXP_MSG_THAI,"%d%% ( Basic 100%% + Internet cafe %d%% + Premium %d%% + %s Server %d%% )"
MSI_CHN_BILLING_EXPIRE_TIME,"After %d hours %d minutes, your game will be terminated."
MSI_CHN_BLOCK_FOREVER,"This Account is permanently Banned."
MSI_CHN_BLOCK,"This Account is banned.\nTermination Time:%04d-%02d-%02d %02d:%02d "
MSI_WORLDMAP_MSG1,"Monster(Tab)"
MSI_WORLDMAP_MSG2,"Map(Alt)"
MSI_WORLDMAP_MSG3,"Product Information"
MSI_WORLDMAP_MSG4,"Find Information"
MSI_WORLDMAP_MSG5,"Non-Process"
MSI_WORLDMAP_MSG6,"Kafra"
MSI_WORLDMAP_MSG7,"(Arrival)"
MSI_NAVIGATION_MOB_S_S_S,"Mob)%s:%s(%s)"
MSI_NAVIGATION_NUM,"Distribution:%s"
MSI_NAVIGATION_NUM1,"Very High"
MSI_NAVIGATION_NUM2,"High"
MSI_NAVIGATION_NUM3,"Average"
MSI_NAVIGATION_NUM4,"Low"
MSI_NAVIGATION_NUM5,"Very Low"
MSI_BANK_SYSTEM_ERROR,"The bank is not available. Please try again in a few minutes."
MSI_BANK_WITHDRAW_NO_MONEY,"Bank Balance is not enough."
MSI_BANK_DEPOSIT_NO_MONEY,"You don't have enough zeny"
MSI_BANK_DEPOSIT_ZERO,"Minimum Deposit Amount: 1 zeny"
MSI_BANK_WITHDRAW_ZERO,"Minimum Withdrawal Amount: 1 zeny"
MSI_BANK_OVER_INT_MAX,"You cannot hold more than 2,147,483,647 Zeny"
MSI_REFUSE_MOTP_LOCK,"your account is lock by mobile otp"
MSI_REFUSE_MOTP_AUTH_FAIL,"MOTP auth fail"
MSI_JOBPLUSEXP_VALUE,"For %d minutes, Job experience obtained from monster is increased by %d%%."
MSI_BANK_MY_ZENY,"Current Zeny: %s Zeny"
MSI_BANK_ZENY,"Zeny"
MSI_BANK_WARNING,"The Maximum amount is 2,147,483,647 Zeny"
MSI_NEED_MORE_BULLET,"Insufficient bullet"
MSI_OVERPRICE_MAX,"You entered more than 1 Billion Zeny, the price will be set to 1 Billion Zeny."
MSI_NOT_VALID_AUTH_TICKET,"AuthTicket is Not Valid"
MSI_STEAMAGENCY_ERROR,"ErrorCategory : %d, ErrorCode : %d (%d,%d,%d,%d)"
MSI_BASIC_EXP_MSG_INDONESIA,"%d%% ( Basic 100%% + Premium %d%% + Internet cafe %d%% + %s Server %d%% )"
MSI_RECEIVEITEM_VALUE,"For %d minutes, item drop rate from defeating monster is increased by %d%%."
MSI_RECEIVEITEM_VALUE_1,"For %d minutes %.2d, item drop rate from defeating monster is increased by %d%%."
MSI_WARNING_PRICE1,"The price of^0000FF %s^000000"
MSI_WARNING_PRICE2,"100000000"
MSI_WARNING_PRICE3," is over ^FF0000%d00^0000FF million^000000 zeny and"
MSI_WARNING_PRICE4,"10000000"
MSI_WARNING_PRICE5," more than^FF0000 %d0^0000FF million^000000 zeny"
MSI_WARNING_PRICE6,". Is it correct?"
MSI_WARNING_PRICE7,"Safe check for over 10 mil zeny"
MSI_AMERICA_CASHSHOP_URL,"https://www.warpportal.com/account/login.aspx?ReturnUrl=%2faccount%2fpayment.aspx"
MSI_AMERICA_CASHSHOP_URL_STEAM,"https://kepler.warpportal.com/ro1/purchase/?step=1&steamid=%lld&accountname="
MSI_QUEST_INFO_01,"A giant crevice appeared in Bifrost, the bridge between Splendide, the end of the world and the floating continent of Alfheim, and you do not know the source of the labyrinth forest."
MSI_QUEST_INFO_02,"This is a marker indicating the end of the trip, a new world is opening indicators! Guardian, such as the lyrics to the temptation was gradually losing the soul."
MSI_QUEST_INFO_03,"For thousands of years, a mysterious melody has mesmerized the guardian. After a millennia of slumber, the guardian became confused about what he had been protecting all these years, and began to suspect that he might be the one who has been sealed and hidden away."
MSI_QUEST_INFO_04,"When the melody reached its peak, a giant crevice appeared in Bifrost, the bridge between Splendide, the end of the world and the floating continent of Alfheim. As a result, the two worlds were cut off from each other, causing a big problem for the people."
MSI_QUEST_INFO_05,"Now, the only way to get to Bifrost is through the Labyrinth Forest. Nobody knows how the forest came to exist, and nobody has ever come out of it alive..."
MSI_QUEST_INFO_06,"Swallowed countless adventurers to put a hell of confusion, wandering in the forest labyrinth of nowhere, like the heart of a woman was being extend deeper confusion."
MSI_BANK_CHECK_NUM,"You can enter only numbers."
MSI_BANK_PROHIBIT,"Exchange or store window is active and cannot register the withdrawal."
MSI_QUEST_INFO_00,"Go to"
MSI_ITEM_COMPARISON,"Compare"
MSI_WRONG_GUN,"This Weapon is not suitable for the bullet you are equipping."
MSI_WRONG_BULLET,"This bullet is not suitable for the weapon you are equipping."
MSI_BUYINGSTORE_MAKEWND_ADD_GOODS,"This item you want to sell is not registered. Please register the item first."
MSI_ITEM_IN_MAIL_SYSTEM,"ITEM"
MSI_GUILD_STORAGE_OPEN_ERROR,"Guild storage is not available."
MSI_GUILD_STORAGE_OPEN_NO_JOIN_GUILD,"You are not joining any guild. Please try again after joining a guild."
MSI_GUILD_STORAGE_WARNING_USING_ANOTHER_MEMBER,"Other guild member is using it. Please try againt later."
MSI_GUILD_STORAGE_PERMISSON,"Storage"
MSI_GUILD_STORAGE_TITLE,"Guild Storage"
MSI_GUILD_STORAGE_PERMISSON_WARNING_MSG,"You do not have permission to use guild storage."
MSI_BARGAINSALE_TOOLWND_TITLE,"Limited Sale Registration Window"
MSI_BARGAINSALE_TOOLWND_DB_NAME,"Item DB Name"
MSI_BARGAINSALE_TOOLWND_DB_NUMBER,"Item DB Number"
MSI_BARGAINSALE_TOOLWND_SELL_COUNT,"Number of Sale"
MSI_BARGAINSALE_TOOLWND_SELL_STARTTIME,"Sale Start Time"
MSI_BARGAINSALE_TOOLWND_SELL_PERIODTIME,"Time to sell"
MSI_BARGAINSALE_TOOLWND_INPUT_COUNT_MSG,"Please enter amount you want to sell"
MSI_BARGAINSALE_TOOLWND_INPUT_STARTTIME_MSG,"Enter start time of sale"
MSI_BARGAINSALE_TOOLWND_WRONG_RANGE_MSG,"Start time does not match the scope of sales."
MSI_BARGAINSALE_TOOLWND_INPUT_PERIODTIME_MSG,"Please enter the time"
MSI_BARGAINSALE_TOOLWND_INPUT_ITEMDBNAME_MSG,"Please enter the Item DB Name"
MSI_BARGAINSALE_TOOLWND_ITEMID_CHECK_FAILED_MSG,"Item ID lookup failed. Please try again later"
MSI_BARGAINSALE_TOOLWND_RESULT_FORMAT,">> ItemName : %s / Price : %dc / Quantity : %d / TimeOfSale : %dMonth:%dDay:%dHour:%dMinute ~ %dMonth:%dDay:%dHour:%dMinute"
MSI_BARGAINSALE_TOOLWND_APPLY_SUCCESS_MSG,"Registration successful"
MSI_BARGAINSALE_TOOLWND_APPLY_FAILED_MSG,"Registration failure. Please try again later."
MSI_BARGAINSALE_TOOLWND_ALREADY_REGISTERED_MSG,"Item has already been registered. Please try again later."
MSI_BARGAINSALE_TOOLWND_DELETE_FAILED_MSG,"Failed to remove this item. Please try again later."
MSI_BARGAINSALE_TOOLWND_DELETE_SUCCESS_MSG,"%s item has been removed."
MSI_BARGAINSALE_CASHSHOP_TAB_NAME,"Special"
MSI_BARGAINSALE_CASHSHOP_REFRESH_BTN_TOOLTIP,"Update quantity of limited sale items"
MSI_BARGAINSALE_CASHSHOP_TIMER,"Sales closed"
MSI_BARGAINSALE_CASHSHOP_REFRESH_MSG,"item count should be renewed"
MSI_BARGAINSALE_CASHSHOP_CHECK_COUNT_MSG,"Item stock is low. You can only buy %d items."
MSI_BARGAINSALE_START_MSG,"%s Items are on sale"
MSI_BARGAINSALE_CLOSE_MSG,"%s time-out or sale of the items sold has been shut down due to the limited sales "
MSI_BARGAINSALE_TOOLWND_CALL,"/limitedsale"
MSI_FRANCE_CASHSHOP_URL,"http://www.ragnarokeurope.com/news/home-r70.html"
MSI_FRANCE_CASHSHOP_URL_STEAM,"http://www.ragnarokeurope.com/index.php?rubrique=70&Steam"
MSI_PARA_RESULT_TITLE,"Item purchase successful"
MSI_PARA_WRONG_PURCHASE_COUNT_MSG,"You do not have enough items."
